epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.725,2.48203,4.82048,0.97882,5e-05,0.00199,0.0002,2e-05,1.80493,4.82656,0.82579,0.00022134,0.00022134,0.00022134
2,19.1382,1.89957,3.6987,0.85077,0.00366,0.08285,0.00755,0.00231,1.66954,4.4892,0.81356,0.000445367,0.000445367,0.000445367
3,25.3912,1.82939,2.99666,0.84112,0.03258,0.67412,0.07585,0.035,1.66387,3.62102,0.81524,0.00066487,0.00066487,0.00066487
4,31.5682,1.74169,2.59847,0.83758,0.04161,0.93429,0.11924,0.06699,1.46453,2.74826,0.81324,0.000692794,0.000692794,0.000692794
5,37.7282,1.71507,2.40274,0.83786,0.12134,0.46048,0.13576,0.07,1.69314,2.29371,0.82043,0.000685726,0.000685726,0.000685726
6,43.8562,1.6263,2.29538,0.82912,0.12988,0.51111,0.15511,0.08742,1.51745,2.32548,0.81321,0.000678657,0.000678657,0.000678657
7,50.2204,1.5779,2.19274,0.82664,0.15047,0.54109,0.18273,0.11175,1.36049,2.10846,0.80609,0.000671588,0.000671588,0.000671588
8,56.4154,1.44223,2.11032,0.82009,0.18216,0.53315,0.20643,0.12944,1.27961,2.02242,0.80448,0.00066452,0.00066452,0.00066452
9,62.5624,1.48199,2.05209,0.82708,0.19002,0.50428,0.23673,0.14217,1.37189,1.99448,0.80969,0.000657451,0.000657451,0.000657451
10,68.6807,1.41538,2.0282,0.82054,0.24524,0.55949,0.28217,0.17462,1.27238,1.93389,0.7998,0.000650383,0.000650383,0.000650383
11,74.7934,1.3882,1.96532,0.81939,0.25696,0.63868,0.31306,0.19704,1.2679,1.86484,0.80353,0.000643314,0.000643314,0.000643314
12,80.9694,1.44474,1.92407,0.81982,0.28957,0.58208,0.33432,0.22041,1.2062,1.84675,0.79848,0.000636245,0.000636245,0.000636245
13,89.0299,1.44883,1.87991,0.81943,0.29529,0.57252,0.37271,0.23612,1.29357,1.76808,0.80356,0.000629177,0.000629177,0.000629177
14,95.5971,1.39285,1.82374,0.81983,0.33291,0.6212,0.40734,0.27018,1.18889,1.72812,0.79887,0.000622108,0.000622108,0.000622108
